area,equivalentDiameter,ellipse minor axis,ellipse major axis
23507.0,173.00301147115755,138.61172485351562,222.54869079589844
17084.0,147.48567517645745,118.46353912353516,192.55880737304688
15692.5,141.35172993549298,110.5129623413086,189.54824829101562
18000.0,151.3879513212096,126.92672729492188,196.70928955078125
20863.5,162.98537738577062,131.25503540039062,211.63587951660156
20453.5,161.37597413568307,134.09686279296875,203.4642791748047
20855.5,162.95412644429777,130.66773986816406,212.410400390625
18263.5,152.49200118455605,116.54698181152344,209.62557983398438
17015.5,147.18969893793914,115.20723724365234,194.7988739013672
15959.0,142.54693926713566,116.14554595947266,181.6701202392578
14394.5,135.37963889259825,106.94694519042969,175.82705688476562
18147.0,152.00486182457783,121.68618774414062,196.9599609375
21044.0,163.68889082465788,133.25149536132812,208.68739318847656
20523.5,161.65188460507386,129.74974060058594,212.77359008789062
19752.5,158.58645625456577,124.43067932128906,214.70558166503906
17452.5,149.06781394550075,116.50125885009766,199.26104736328125
15619.5,141.02256936033635,110.61619567871094,186.18182373046875
14814.0,137.33816154189157,108.4250259399414,178.35813903808594
15084.5,138.5863698657179,108.9481201171875,185.82765197753906
16341.5,144.24508317544021,117.57164001464844,189.25387573242188
20233.0,160.50375605769028,134.1380615234375,201.54464721679688
20627.5,162.06094134313972,131.8934783935547,206.4907989501953
19708.0,158.4077174497524,124.16726684570312,211.14862060546875
17095.5,147.5353064083983,115.76940155029297,196.70559692382812
15373.0,139.90536630599146,111.45690155029297,182.03350830078125
14196.0,134.44295659148668,103.6989517211914,179.34170532226562
14898.5,137.72929738162765,106.5014419555664,186.04544067382812
16438.0,144.67035507095642,111.0875244140625,201.88829040527344
20342.0,160.93551136713947,128.79696655273438,208.1588897705078
20046.5,159.7623126195081,127.46949005126953,209.98239135742188
18648.5,154.09090709705646,122.74790954589844,206.01100158691406
15820.0,141.92480261642174,109.96980285644531,190.9961395263672
14207.5,134.49740083668837,104.83588409423828,178.7798309326172
14439.0,135.5887376828585,108.75218200683594,174.96336364746094
16906.5,146.71749848966562,119.77117156982422,194.126220703125
19502.5,157.57967578719507,124.61905670166016,205.10845947265625
21425.0,165.16403133234203,134.41783142089844,213.37066650390625
23279.0,172.1619683957228,139.0318603515625,220.5259552001953
18021.0,151.47623521751643,118.57939147949219,204.63815307617188
15820.0,141.92480261642174,112.31383514404297,187.2788543701172
14356.0,135.1984722702812,107.89515686035156,174.39785766601562
13819.0,132.64575857785735,103.5057601928711,178.53968811035156
15456.0,140.2825377708383,108.59627532958984,191.24432373046875
18535.0,153.6212711888111,123.89968872070312,203.54515075683594
21035.5,163.6558292370807,135.02590942382812,208.31277465820312
21282.0,164.61191934684965,134.57374572753906,209.06951904296875
19388.0,157.1164163711906,123.61216735839844,213.94964599609375
16859.5,146.513419537128,118.64653015136719,195.27537536621094
14005.0,133.53546279552842,104.23961639404297,175.92941284179688
14257.0,134.73149664903605,103.5350570678711,184.08929443359375
17320.0,148.50087176448835,122.50178527832031,199.18141174316406
19878.0,159.08945807389492,130.18963623046875,204.4320831298828
21078.0,163.82107045166003,133.17059326171875,209.3758087158203
20391.5,161.13120174710753,126.37547302246094,216.07923889160156
19115.0,156.00632646662967,120.93899536132812,212.73768615722656
17382.5,148.7685665265313,119.10648345947266,198.00875854492188
14702.5,136.82033623138312,108.04035186767578,178.9782257080078
15019.5,138.28745909210198,107.47137451171875,186.77279663085938
18354.0,152.86935142162793,124.6422348022461,202.145751953125
20238.5,160.5255696956799,129.3852081298828,207.7796173095703
21311.0,164.72403570168822,132.25582885742188,211.9529571533203
19610.5,158.01539194657244,123.56404876708984,217.6582489013672
18409.5,153.10030502517617,124.2007064819336,204.6630859375
16037.0,142.89486547429829,114.12904357910156,190.19692993164062
14282.5,134.85193286593992,104.23810577392578,182.38169860839844
15600.0,140.93451279891858,111.24137878417969,193.55697631835938
19547.5,157.76137043240527,126.51193237304688,207.421875
20850.0,162.93263794503588,132.26959228515625,210.45950317382812
20665.5,162.2101470676989,129.7452850341797,213.38221740722656
19067.0,155.81032828238745,122.82293701171875,211.3643798828125
17458.5,149.09343577689407,119.45164489746094,199.89102172851562
15600.5,140.9367713467316,116.89932250976562,177.29185485839844
13877.5,132.92622684053822,104.50221252441406,173.92893981933594
15365.5,139.87123444306962,108.89949035644531,184.886962890625
20480.5,161.482452594542,131.78805541992188,210.25787353515625
21459.5,165.29695705077037,133.77029418945312,212.0518341064453
20115.5,160.03702715971752,126.14802551269531,214.49960327148438
18320.0,152.72769381991003,123.30135345458984,207.0
16520.0,145.03074597830934,116.39246368408203,190.3052978515625
14103.5,134.0042309748926,104.79920196533203,177.59739685058594
13979.0,133.41145226648587,103.61503601074219,175.08517456054688
14806.5,137.30339150625954,105.83653259277344,188.78860473632812
17968.5,151.25542885983884,117.05792236328125,205.63388061523438
19826.5,158.88323962486322,132.0339813232422,199.8885498046875
19588.0,157.9247168820396,123.92445373535156,211.61619567871094
18270.5,152.5212218089135,121.88316345214844,205.85523986816406
16166.5,143.4706489145463,117.09361267089844,187.30410766601562
13994.0,133.48301086289547,105.09130096435547,175.23641967773438
13986.5,133.4472363611864,104.351806640625,179.12286376953125
16099.0,143.17081906132753,113.04781341552734,195.1507110595703
18991.0,155.49949258459165,123.69165802001953,204.38795471191406
20754.0,162.55710846171436,132.65548706054688,206.445068359375
18833.5,154.85334018279906,121.58345031738281,214.5993194580078
16883.0,146.61549452143095,117.96070098876953,196.33204650878906
14811.5,137.3265725081816,108.84873962402344,179.9153594970703
14124.0,134.10158585877886,105.6278305053711,175.48904418945312
14875.5,137.62294448131792,107.33338165283203,184.84596252441406
17544.0,149.4580696143025,120.41828155517578,196.09104919433594
20592.0,161.92142756654064,130.62142944335938,211.26002502441406
21546.0,165.6297655340483,134.38809204101562,211.78469848632812
20957.0,163.3501794887744,129.08164978027344,216.4601593017578
17420.5,148.93108973300002,118.1886215209961,199.20716857910156
15255.0,139.36738949601843,109.70215606689453,183.40216064453125
13846.0,132.77527908614263,102.94701385498047,176.7797393798828
15451.0,140.25984530756833,109.02909088134766,187.98037719726562
19447.0,157.3552967855379,125.76791381835938,211.27305603027344
21675.5,166.12677012422478,135.0114288330078,213.8773651123047
20905.5,163.14934661977946,135.0426788330078,204.9951629638672
20209.5,160.41051891732434,125.53279113769531,213.09707641601562
18417.5,153.13356691189512,122.02168273925781,206.9164276123047
15793.5,141.8058840449676,115.0002212524414,182.33560180664062
14051.0,133.7545843815223,103.4678955078125,179.37330627441406
15350.0,139.80066885278035,108.90132904052734,187.76849365234375
18685.0,154.24163151813624,123.23953247070312,207.89779663085938
21070.5,163.79192235071378,132.87142944335938,210.26744079589844
20970.5,163.40278416498518,131.90020751953125,211.64889526367188
19435.0,157.3067403257975,120.35173034667969,215.57666015625
17908.0,151.00057538670936,120.2035903930664,203.00685119628906
15461.0,140.30522656391082,110.81394958496094,188.35841369628906
14695.0,136.78543456773173,106.06007385253906,186.71646118164062
16763.5,146.09569161398258,119.84476470947266,198.39878845214844
19958.0,159.40926834354514,130.4774169921875,209.33192443847656
21270.5,164.56743826252287,133.78640747070312,212.40589904785156
21003.5,163.53130213462188,130.57073974609375,216.12753295898438
19224.0,156.4504937927291,123.4371566772461,213.97128295898438
17752.5,150.343556622527,119.45425415039062,202.8330078125
16023.5,142.83470812468474,115.6482925415039,184.85548400878906
